Days since 1/3/23,Company,Value
61.0,1.0,26.969627
61.0,2.0,118.747231
61.0,3.0,63.959999
61.0,4.0,67.239998
62.0,1.0,26.969627
62.0,2.0,118.747231
62.0,3.0,63.959999
62.0,4.0,67.239998
63.0,1.0,26.969627
63.0,2.0,118.747231
63.0,3.0,63.959999
63.0,4.0,67.239998
64.0,1.0,26.969627
64.0,2.0,118.747231
64.0,3.0,63.959999
64.0,4.0,67.239998
65.0,1.0,26.969627
65.0,2.0,118.747231
65.0,3.0,63.959999
65.0,4.0,67.239998
66.0,1.0,26.969627
66.0,2.0,118.747231
66.0,3.0,63.959999
66.0,4.0,67.239998
67.0,1.0,26.969627
67.0,2.0,118.747231
67.0,3.0,63.959999
67.0,4.0,67.239998
68.0,1.0,26.969627
68.0,2.0,118.747231
68.0,3.0,63.959999
68.0,4.0,67.239998
69.0,1.0,26.969627
69.0,2.0,118.747231
69.0,3.0,63.959999
69.0,4.0,67.239998
70.0,1.0,26.969627
70.0,2.0,118.747231
70.0,3.0,63.959999
70.0,4.0,67.239998
71.0,1.0,26.969627
71.0,2.0,118.747231
71.0,3.0,63.959999
71.0,4.0,67.239998
72.0,1.0,26.969627
72.0,2.0,118.747231
72.0,3.0,63.959999
72.0,4.0,67.239998
73.0,1.0,26.969627
73.0,2.0,118.747231
73.0,3.0,63.959999
73.0,4.0,67.239998
74.0,1.0,26.969627
74.0,2.0,118.747231
74.0,3.0,63.959999
74.0,4.0,67.239998
75.0,1.0,26.969627
75.0,2.0,118.747231
75.0,3.0,63.959999
75.0,4.0,67.239998
76.0,1.0,26.969627
76.0,2.0,118.747231
76.0,3.0,63.959999
76.0,4.0,67.239998
77.0,1.0,26.969627
77.0,2.0,118.747231
77.0,3.0,63.959999
77.0,4.0,67.239998
78.0,1.0,26.969627
78.0,2.0,118.747231
78.0,3.0,63.959999
78.0,4.0,67.239998
79.0,1.0,26.969627
79.0,2.0,118.747231
79.0,3.0,63.959999
79.0,4.0,67.239998
80.0,1.0,26.969627
80.0,2.0,118.747231
80.0,3.0,63.959999
80.0,4.0,67.239998
81.0,1.0,26.969627
81.0,2.0,118.747231
81.0,3.0,63.959999
81.0,4.0,67.239998
82.0,1.0,26.969627
82.0,2.0,118.747231
82.0,3.0,63.959999
82.0,4.0,67.239998
83.0,1.0,26.969627
83.0,2.0,118.747231
83.0,3.0,63.959999
83.0,4.0,67.239998
84.0,1.0,26.969627
84.0,2.0,118.747231
84.0,3.0,63.959999
84.0,4.0,67.239998
85.0,1.0,26.969627
85.0,2.0,118.747231
85.0,3.0,63.959999
85.0,4.0,67.239998
86.0,1.0,26.969627
86.0,2.0,118.747231
86.0,3.0,63.959999
86.0,4.0,67.239998
87.0,1.0,26.969627
87.0,2.0,118.747231
87.0,3.0,63.959999
87.0,4.0,67.239998
88.0,1.0,26.969627
88.0,2.0,118.747231
88.0,3.0,63.959999
88.0,4.0,67.239998
89.0,1.0,26.969627
89.0,2.0,118.747231
89.0,3.0,63.959999
89.0,4.0,67.239998
90.0,1.0,26.969627
90.0,2.0,118.747231
90.0,3.0,63.959999
90.0,4.0,67.239998
91.0,1.0,26.969627
91.0,2.0,118.747231
91.0,3.0,63.959999
91.0,4.0,67.239998
92.0,1.0,26.969627
92.0,2.0,118.747231
92.0,3.0,63.959999
92.0,4.0,67.239998
93.0,1.0,26.969627
93.0,2.0,118.747231
93.0,3.0,63.959999
93.0,4.0,67.239998
94.0,1.0,26.969627
94.0,2.0,118.747231
94.0,3.0,63.959999
94.0,4.0,67.239998
95.0,1.0,26.969627
95.0,2.0,118.747231
95.0,3.0,63.959999
95.0,4.0,67.239998
96.0,1.0,26.969627
96.0,2.0,118.747231
96.0,3.0,63.959999
96.0,4.0,67.239998
97.0,1.0,26.969627
97.0,2.0,118.747231
97.0,3.0,63.959999
97.0,4.0,67.239998
98.0,1.0,26.969627
98.0,2.0,118.747231
98.0,3.0,63.959999
98.0,4.0,67.239998
99.0,1.0,26.969627
99.0,2.0,118.747231
99.0,3.0,63.959999
99.0,4.0,67.239998
100.0,1.0,26.969627
100.0,2.0,118.747231
100.0,3.0,63.959999
100.0,4.0,67.239998
101.0,1.0,26.969627
101.0,2.0,118.747231
101.0,3.0,63.959999
101.0,4.0,67.239998
102.0,1.0,26.969627
102.0,2.0,118.747231
102.0,3.0,63.959999
102.0,4.0,67.239998
103.0,1.0,26.969627
103.0,2.0,118.747231
103.0,3.0,63.959999
103.0,4.0,67.239998
104.0,1.0,26.969627
104.0,2.0,118.747231
104.0,3.0,63.959999
104.0,4.0,67.239998
105.0,1.0,26.969627
105.0,2.0,118.747231
105.0,3.0,63.959999
105.0,4.0,67.239998
106.0,1.0,26.969627
106.0,2.0,118.747231
106.0,3.0,63.959999
106.0,4.0,67.239998
107.0,1.0,26.969627
107.0,2.0,118.747231
107.0,3.0,63.959999
107.0,4.0,67.239998
108.0,1.0,26.969627
108.0,2.0,118.747231
108.0,3.0,63.959999
108.0,4.0,67.239998
109.0,1.0,26.969627
109.0,2.0,118.747231
109.0,3.0,63.959999
109.0,4.0,67.239998
110.0,1.0,26.969627
110.0,2.0,118.747231
110.0,3.0,63.959999
110.0,4.0,67.239998
111.0,1.0,26.969627
111.0,2.0,118.747231
111.0,3.0,63.959999
111.0,4.0,67.239998
112.0,1.0,26.969627
112.0,2.0,118.747231
112.0,3.0,63.959999
112.0,4.0,67.239998
113.0,1.0,26.969627
113.0,2.0,118.747231
113.0,3.0,63.959999
113.0,4.0,67.239998
114.0,1.0,26.969627
114.0,2.0,118.747231
114.0,3.0,63.959999
114.0,4.0,67.239998
115.0,1.0,26.969627
115.0,2.0,118.747231
115.0,3.0,63.959999
115.0,4.0,67.239998
116.0,1.0,26.969627
116.0,2.0,118.747231
116.0,3.0,63.959999
116.0,4.0,67.239998
117.0,1.0,26.969627
117.0,2.0,118.747231
117.0,3.0,63.959999
117.0,4.0,67.239998
118.0,1.0,26.969627
118.0,2.0,118.747231
118.0,3.0,63.959999
118.0,4.0,67.239998
119.0,1.0,26.969627
119.0,2.0,118.747231
119.0,3.0,63.959999
119.0,4.0,67.239998
120.0,1.0,26.969627
120.0,2.0,118.747231
120.0,3.0,63.959999
120.0,4.0,67.239998
121.0,1.0,26.969627
121.0,2.0,118.747231
121.0,3.0,63.959999
121.0,4.0,67.239998
122.0,1.0,26.969627
122.0,2.0,118.747231
122.0,3.0,63.959999
122.0,4.0,67.239998
123.0,1.0,26.969627
123.0,2.0,118.747231
123.0,3.0,63.959999
123.0,4.0,67.239998
124.0,1.0,26.969627
124.0,2.0,118.747231
124.0,3.0,63.959999
124.0,4.0,67.239998
125.0,1.0,26.969627
125.0,2.0,118.747231
125.0,3.0,63.959999
125.0,4.0,67.239998
126.0,1.0,26.969627
126.0,2.0,118.747231
126.0,3.0,63.959999
126.0,4.0,67.239998
127.0,1.0,26.969627
127.0,2.0,118.747231
127.0,3.0,63.959999
127.0,4.0,67.239998
128.0,1.0,26.969627
128.0,2.0,118.747231
128.0,3.0,63.959999
128.0,4.0,67.239998
129.0,1.0,26.969627
129.0,2.0,118.747231
129.0,3.0,63.959999
129.0,4.0,67.239998
130.0,1.0,26.969627
130.0,2.0,118.747231
130.0,3.0,63.959999
130.0,4.0,67.239998
131.0,1.0,26.969627
131.0,2.0,118.747231
131.0,3.0,63.959999
131.0,4.0,67.239998
132.0,1.0,26.969627
132.0,2.0,118.747231
132.0,3.0,63.959999
132.0,4.0,67.239998
133.0,1.0,26.969627
133.0,2.0,118.747231
133.0,3.0,63.959999
133.0,4.0,67.239998
134.0,1.0,26.969627
134.0,2.0,118.747231
134.0,3.0,63.959999
134.0,4.0,67.239998
135.0,1.0,26.969627
135.0,2.0,118.747231
135.0,3.0,63.959999
135.0,4.0,67.239998
136.0,1.0,26.969627
136.0,2.0,118.747231
136.0,3.0,63.959999
136.0,4.0,67.239998
137.0,1.0,26.969627
137.0,2.0,118.747231
137.0,3.0,63.959999
137.0,4.0,67.239998
138.0,1.0,26.969627
138.0,2.0,118.747231
138.0,3.0,63.959999
138.0,4.0,67.239998
139.0,1.0,26.969627
139.0,2.0,118.747231
139.0,3.0,63.959999
139.0,4.0,67.239998
140.0,1.0,26.969627
140.0,2.0,118.747231
140.0,3.0,63.959999
140.0,4.0,67.239998
141.0,1.0,26.969627
141.0,2.0,118.747231
141.0,3.0,63.959999
141.0,4.0,67.239998
142.0,1.0,26.969627
142.0,2.0,118.747231
142.0,3.0,63.959999
142.0,4.0,67.239998
143.0,1.0,26.969627
143.0,2.0,118.747231
143.0,3.0,63.959999
143.0,4.0,67.239998
144.0,1.0,26.969627
144.0,2.0,118.747231
144.0,3.0,63.959999
144.0,4.0,67.239998
145.0,1.0,26.969627
145.0,2.0,118.747231
145.0,3.0,63.959999
145.0,4.0,67.239998
146.0,1.0,26.969627
146.0,2.0,118.747231
146.0,3.0,63.959999
146.0,4.0,67.239998
147.0,1.0,26.969627
147.0,2.0,118.747231
147.0,3.0,63.959999
147.0,4.0,67.239998
148.0,1.0,26.969627
148.0,2.0,118.747231
148.0,3.0,63.959999
148.0,4.0,67.239998
149.0,1.0,26.969627
149.0,2.0,118.747231
149.0,3.0,63.959999
149.0,4.0,67.239998
150.0,1.0,26.969627
150.0,2.0,118.747231
150.0,3.0,63.959999
150.0,4.0,67.239998
151.0,1.0,26.969627
151.0,2.0,118.747231
151.0,3.0,63.959999
151.0,4.0,67.239998
152.0,1.0,26.969627
152.0,2.0,118.747231
152.0,3.0,63.959999
152.0,4.0,67.239998
153.0,1.0,26.969627
153.0,2.0,118.747231
153.0,3.0,63.959999
153.0,4.0,67.239998
154.0,1.0,26.969627
154.0,2.0,118.747231
154.0,3.0,63.959999
154.0,4.0,67.239998
155.0,1.0,26.969627
155.0,2.0,118.747231
155.0,3.0,63.959999
155.0,4.0,67.239998
156.0,1.0,26.969627
156.0,2.0,118.747231
156.0,3.0,63.959999
156.0,4.0,67.239998
157.0,1.0,26.969627
157.0,2.0,118.747231
157.0,3.0,63.959999
157.0,4.0,67.239998
158.0,1.0,26.969627
158.0,2.0,118.747231
158.0,3.0,63.959999
158.0,4.0,67.239998
159.0,1.0,26.969627
159.0,2.0,118.747231
159.0,3.0,63.959999
159.0,4.0,67.239998
160.0,1.0,26.969627
160.0,2.0,118.747231
160.0,3.0,63.959999
160.0,4.0,67.239998
161.0,1.0,26.969627
161.0,2.0,118.747231
161.0,3.0,63.959999
161.0,4.0,67.239998
162.0,1.0,26.969627
162.0,2.0,118.747231
162.0,3.0,63.959999
162.0,4.0,67.239998
163.0,1.0,26.969627
163.0,2.0,118.747231
163.0,3.0,63.959999
163.0,4.0,67.239998
164.0,1.0,26.969627
164.0,2.0,118.747231
164.0,3.0,63.959999
164.0,4.0,67.239998
165.0,1.0,26.969627
165.0,2.0,118.747231
165.0,3.0,63.959999
165.0,4.0,67.239998
166.0,1.0,26.969627
166.0,2.0,118.747231
166.0,3.0,63.959999
166.0,4.0,67.239998
167.0,1.0,26.969627
167.0,2.0,118.747231
167.0,3.0,63.959999
167.0,4.0,67.239998
168.0,1.0,26.969627
168.0,2.0,118.747231
168.0,3.0,63.959999
168.0,4.0,67.239998
169.0,1.0,26.969627
169.0,2.0,118.747231
169.0,3.0,63.959999
169.0,4.0,67.239998
170.0,1.0,26.969627
170.0,2.0,118.747231
170.0,3.0,63.959999
170.0,4.0,67.239998
171.0,1.0,26.969627
171.0,2.0,118.747231
171.0,3.0,63.959999
171.0,4.0,67.239998
172.0,1.0,26.969627
172.0,2.0,118.747231
172.0,3.0,63.959999
172.0,4.0,67.239998
173.0,1.0,26.969627
173.0,2.0,118.747231
173.0,3.0,63.959999
173.0,4.0,67.239998
174.0,1.0,26.969627
174.0,2.0,118.747231
174.0,3.0,63.959999
174.0,4.0,67.239998
175.0,1.0,26.969627
175.0,2.0,118.747231
175.0,3.0,63.959999
175.0,4.0,67.239998
176.0,1.0,26.969627
176.0,2.0,118.747231
176.0,3.0,63.959999
