Days since 1/3/23,Company,Value
63.0,3.0,63.959999
63.0,4.0,67.239998
64.0,1.0,27.68
64.0,2.0,123.5
64.0,3.0,63.959999
64.0,4.0,67.239998
65.0,1.0,27.68
65.0,2.0,123.5
65.0,3.0,63.959999
65.0,4.0,67.239998
66.0,1.0,27.68
66.0,2.0,123.5
66.0,3.0,63.959999
66.0,4.0,67.239998
67.0,1.0,27.68
67.0,2.0,123.5
67.0,3.0,63.959999
67.0,4.0,67.239998
68.0,1.0,27.68
68.0,2.0,123.5
68.0,3.0,63.959999
68.0,4.0,67.239998
69.0,1.0,27.68
69.0,2.0,123.5
69.0,3.0,63.959999
69.0,4.0,67.239998
70.0,1.0,27.68
70.0,2.0,123.5
70.0,3.0,63.959999
70.0,4.0,67.239998
71.0,1.0,27.68
71.0,2.0,123.5
71.0,3.0,63.959999
71.0,4.0,67.239998
72.0,1.0,27.68
72.0,2.0,123.5
72.0,3.0,63.959999
72.0,4.0,67.239998
73.0,1.0,27.68
73.0,2.0,123.5
73.0,3.0,63.959999
73.0,4.0,67.239998
74.0,1.0,27.68
74.0,2.0,123.5
74.0,3.0,63.959999
74.0,4.0,67.239998
75.0,1.0,27.68
75.0,2.0,123.5
75.0,3.0,63.959999
75.0,4.0,67.239998
76.0,1.0,27.68
76.0,2.0,123.5
76.0,3.0,63.959999
76.0,4.0,67.239998
77.0,1.0,27.68
77.0,2.0,123.5
77.0,3.0,63.959999
77.0,4.0,67.239998
78.0,1.0,27.68
78.0,2.0,123.5
78.0,3.0,63.959999
78.0,4.0,67.239998
79.0,1.0,27.68
79.0,2.0,123.5
79.0,3.0,63.959999
79.0,4.0,67.239998
80.0,1.0,27.68
80.0,2.0,123.5
80.0,3.0,63.959999
80.0,4.0,67.239998
81.0,1.0,27.68
81.0,2.0,123.5
81.0,3.0,63.959999
81.0,4.0,67.239998
82.0,1.0,27.68
82.0,2.0,123.5
82.0,3.0,63.959999
82.0,4.0,67.239998
83.0,1.0,27.68
83.0,2.0,123.5
83.0,3.0,63.959999
83.0,4.0,67.239998
84.0,1.0,27.68
84.0,2.0,123.5
84.0,3.0,63.959999
84.0,4.0,67.239998
85.0,1.0,27.68
85.0,2.0,123.5
85.0,3.0,63.959999
85.0,4.0,67.239998
86.0,1.0,27.68
86.0,2.0,123.5
86.0,3.0,63.959999
86.0,4.0,67.239998
87.0,1.0,27.68
87.0,2.0,123.5
87.0,3.0,63.959999
87.0,4.0,67.239998
88.0,1.0,27.68
88.0,2.0,123.5
88.0,3.0,63.959999
88.0,4.0,67.239998
89.0,1.0,27.68
89.0,2.0,123.5
89.0,3.0,63.959999
89.0,4.0,67.239998
90.0,1.0,27.68
90.0,2.0,123.5
90.0,3.0,63.959999
90.0,4.0,67.239998
91.0,1.0,27.68
91.0,2.0,123.5
91.0,3.0,63.959999
91.0,4.0,67.239998
92.0,1.0,27.68
92.0,2.0,123.5
92.0,3.0,63.959999
92.0,4.0,67.239998
93.0,1.0,27.68
93.0,2.0,123.5
93.0,3.0,63.959999
93.0,4.0,67.239998
94.0,1.0,27.68
94.0,2.0,123.5
94.0,3.0,63.959999
94.0,4.0,67.239998
95.0,1.0,27.68
95.0,2.0,123.5
95.0,3.0,63.959999
95.0,4.0,67.239998
96.0,1.0,27.68
96.0,2.0,123.5
96.0,3.0,63.959999
96.0,4.0,67.239998
97.0,1.0,27.68
97.0,2.0,123.5
97.0,3.0,63.959999
97.0,4.0,67.239998
98.0,1.0,27.68
98.0,2.0,123.5
98.0,3.0,63.959999
98.0,4.0,67.239998
99.0,1.0,27.68
99.0,2.0,123.5
99.0,3.0,63.959999
99.0,4.0,67.239998
100.0,1.0,27.68
100.0,2.0,123.5
100.0,3.0,63.959999
100.0,4.0,67.239998
101.0,1.0,27.68
101.0,2.0,123.5
101.0,3.0,63.959999
101.0,4.0,67.239998
102.0,1.0,27.68
102.0,2.0,123.5
102.0,3.0,63.959999
102.0,4.0,67.239998
103.0,1.0,27.68
103.0,2.0,123.5
103.0,3.0,63.959999
103.0,4.0,67.239998
