Days since 1/3/23,Company,Value
63.0,3.0,60.049999
63.0,4.0,65.669998
64.0,1.0,27.16
64.0,2.0,122.5
64.0,3.0,60.049999
64.0,4.0,65.669998
65.0,1.0,27.16
65.0,2.0,122.5
65.0,3.0,60.049999
65.0,4.0,65.669998
66.0,1.0,27.16
66.0,2.0,122.5
66.0,3.0,60.049999
66.0,4.0,65.669998
67.0,1.0,27.16
67.0,2.0,122.5
67.0,3.0,60.049999
67.0,4.0,65.669998
68.0,1.0,27.16
68.0,2.0,122.5
68.0,3.0,60.049999
68.0,4.0,65.669998
69.0,1.0,27.16
69.0,2.0,122.5
69.0,3.0,60.049999
69.0,4.0,65.669998
70.0,1.0,27.16
70.0,2.0,122.5
70.0,3.0,60.049999
70.0,4.0,65.669998
71.0,1.0,27.16
71.0,2.0,122.5
71.0,3.0,60.049999
71.0,4.0,65.669998
72.0,1.0,27.16
72.0,2.0,122.5
72.0,3.0,60.049999
72.0,4.0,65.669998
73.0,1.0,27.16
73.0,2.0,122.5
73.0,3.0,60.049999
73.0,4.0,65.669998
74.0,1.0,27.16
74.0,2.0,122.5
74.0,3.0,60.049999
74.0,4.0,65.669998
75.0,1.0,27.16
75.0,2.0,122.5
75.0,3.0,60.049999
75.0,4.0,65.669998
76.0,1.0,27.16
76.0,2.0,122.5
76.0,3.0,60.049999
76.0,4.0,65.669998
77.0,1.0,27.16
77.0,2.0,122.5
77.0,3.0,60.049999
77.0,4.0,65.669998
78.0,1.0,27.16
78.0,2.0,122.5
78.0,3.0,60.049999
78.0,4.0,65.669998
79.0,1.0,27.16
79.0,2.0,122.5
79.0,3.0,60.049999
79.0,4.0,65.669998
80.0,1.0,27.16
80.0,2.0,122.5
80.0,3.0,60.049999
80.0,4.0,65.669998
81.0,1.0,27.16
81.0,2.0,122.5
81.0,3.0,60.049999
81.0,4.0,65.669998
82.0,1.0,27.16
82.0,2.0,122.5
82.0,3.0,60.049999
82.0,4.0,65.669998
83.0,1.0,27.16
83.0,2.0,122.5
83.0,3.0,60.049999
83.0,4.0,65.669998
84.0,1.0,27.16
84.0,2.0,122.5
84.0,3.0,60.049999
84.0,4.0,65.669998
85.0,1.0,27.16
85.0,2.0,122.5
85.0,3.0,60.049999
85.0,4.0,65.669998
86.0,1.0,27.16
86.0,2.0,122.5
86.0,3.0,60.049999
86.0,4.0,65.669998
87.0,1.0,27.16
87.0,2.0,122.5
87.0,3.0,60.049999
87.0,4.0,65.669998
88.0,1.0,27.16
88.0,2.0,122.5
88.0,3.0,60.049999
88.0,4.0,65.669998
89.0,1.0,27.16
89.0,2.0,122.5
89.0,3.0,60.049999
89.0,4.0,65.669998
90.0,1.0,27.16
90.0,2.0,122.5
90.0,3.0,60.049999
90.0,4.0,65.669998
91.0,1.0,27.16
91.0,2.0,122.5
91.0,3.0,60.049999
91.0,4.0,65.669998
92.0,1.0,27.16
92.0,2.0,122.5
92.0,3.0,60.049999
92.0,4.0,65.669998
93.0,1.0,27.16
93.0,2.0,122.5
93.0,3.0,60.049999
93.0,4.0,65.669998
94.0,1.0,27.16
94.0,2.0,122.5
94.0,3.0,60.049999
94.0,4.0,65.669998
95.0,1.0,27.16
95.0,2.0,122.5
95.0,3.0,60.049999
95.0,4.0,65.669998
96.0,1.0,27.16
96.0,2.0,122.5
96.0,3.0,60.049999
96.0,4.0,65.669998
97.0,1.0,27.16
97.0,2.0,122.5
97.0,3.0,60.049999
97.0,4.0,65.669998
98.0,1.0,27.16
98.0,2.0,122.5
98.0,3.0,60.049999
98.0,4.0,65.669998
99.0,1.0,27.16
99.0,2.0,122.5
99.0,3.0,60.049999
99.0,4.0,65.669998
100.0,1.0,27.16
100.0,2.0,122.5
100.0,3.0,60.049999
100.0,4.0,65.669998
101.0,1.0,27.16
101.0,2.0,122.5
101.0,3.0,60.049999
101.0,4.0,65.669998
102.0,1.0,27.16
102.0,2.0,122.5
102.0,3.0,60.049999
102.0,4.0,65.669998
103.0,1.0,27.16
103.0,2.0,122.5
103.0,3.0,60.049999
103.0,4.0,65.669998
104.0,1.0,27.16
104.0,2.0,122.5
104.0,3.0,60.049999
104.0,4.0,65.669998
105.0,1.0,27.16
105.0,2.0,122.5
105.0,3.0,60.049999
105.0,4.0,65.669998
106.0,1.0,27.16
106.0,2.0,122.5
106.0,3.0,60.049999
106.0,4.0,65.669998
107.0,1.0,27.16
107.0,2.0,122.5
107.0,3.0,60.049999
107.0,4.0,65.669998
108.0,1.0,27.16
108.0,2.0,122.5
108.0,3.0,60.049999
108.0,4.0,65.669998
109.0,1.0,27.16
109.0,2.0,122.5
109.0,3.0,60.049999
109.0,4.0,65.669998
110.0,1.0,27.16
110.0,2.0,122.5
110.0,3.0,60.049999
110.0,4.0,65.669998
111.0,1.0,27.16
111.0,2.0,122.5
111.0,3.0,60.049999
111.0,4.0,65.669998
112.0,1.0,27.16
112.0,2.0,122.5
112.0,3.0,60.049999
112.0,4.0,65.669998
113.0,1.0,27.16
113.0,2.0,122.5
113.0,3.0,60.049999
113.0,4.0,65.669998
114.0,1.0,27.16
114.0,2.0,122.5
114.0,3.0,60.049999
114.0,4.0,65.669998
115.0,1.0,27.16
115.0,2.0,122.5
115.0,3.0,60.049999
115.0,4.0,65.669998
116.0,1.0,27.16
116.0,2.0,122.5
116.0,3.0,60.049999
116.0,4.0,65.669998
117.0,1.0,27.16
117.0,2.0,122.5
117.0,3.0,60.049999
117.0,4.0,65.669998
118.0,1.0,27.16
118.0,2.0,122.5
118.0,3.0,60.049999
118.0,4.0,65.669998
119.0,1.0,27.16
119.0,2.0,122.5
119.0,3.0,60.049999
119.0,4.0,65.669998
120.0,1.0,27.16
120.0,2.0,122.5
120.0,3.0,60.049999
120.0,4.0,65.669998
121.0,1.0,27.16
121.0,2.0,122.5
121.0,3.0,60.049999
121.0,4.0,65.669998
122.0,1.0,27.16
122.0,2.0,122.5
122.0,3.0,60.049999
122.0,4.0,65.669998
123.0,1.0,27.16
123.0,2.0,122.5
123.0,3.0,60.049999
123.0,4.0,65.669998
124.0,1.0,27.16
124.0,2.0,122.5
124.0,3.0,60.049999
124.0,4.0,65.669998
125.0,1.0,27.16
125.0,2.0,122.5
125.0,3.0,60.049999
125.0,4.0,65.669998
126.0,1.0,27.16
126.0,2.0,122.5
126.0,3.0,60.049999
126.0,4.0,65.669998
127.0,1.0,27.16
127.0,2.0,122.5
127.0,3.0,60.049999
127.0,4.0,65.669998
128.0,1.0,27.16
128.0,2.0,122.5
128.0,3.0,60.049999
128.0,4.0,65.669998
129.0,1.0,27.16
129.0,2.0,122.5
129.0,3.0,60.049999
129.0,4.0,65.669998
130.0,1.0,27.16
130.0,2.0,122.5
130.0,3.0,60.049999
130.0,4.0,65.669998
131.0,1.0,27.16
131.0,2.0,122.5
131.0,3.0,60.049999
131.0,4.0,65.669998
132.0,1.0,27.16
132.0,2.0,122.5
132.0,3.0,60.049999
132.0,4.0,65.669998
133.0,1.0,27.16
133.0,2.0,122.5
133.0,3.0,60.049999
133.0,4.0,65.669998
134.0,1.0,27.16
134.0,2.0,122.5
134.0,3.0,60.049999
134.0,4.0,65.669998
135.0,1.0,27.16
135.0,2.0,122.5
135.0,3.0,60.049999
135.0,4.0,65.669998
136.0,1.0,27.16
136.0,2.0,122.5
136.0,3.0,60.049999
136.0,4.0,65.669998
137.0,1.0,27.16
137.0,2.0,122.5
137.0,3.0,60.049999
137.0,4.0,65.669998
138.0,1.0,27.16
138.0,2.0,122.5
138.0,3.0,60.049999
138.0,4.0,65.669998
139.0,1.0,27.16
139.0,2.0,122.5
139.0,3.0,60.049999
139.0,4.0,65.669998
140.0,1.0,27.16
140.0,2.0,122.5
140.0,3.0,60.049999
140.0,4.0,65.669998
141.0,1.0,27.16
141.0,2.0,122.5
141.0,3.0,60.049999
141.0,4.0,65.669998
142.0,1.0,27.16
142.0,2.0,122.5
142.0,3.0,60.049999
142.0,4.0,65.669998
143.0,1.0,27.16
143.0,2.0,122.5
143.0,3.0,60.049999
143.0,4.0,65.669998
144.0,1.0,27.16
144.0,2.0,122.5
144.0,3.0,60.049999
144.0,4.0,65.669998
145.0,1.0,27.16
145.0,2.0,122.5
145.0,3.0,60.049999
145.0,4.0,65.669998
146.0,1.0,27.16
146.0,2.0,122.5
146.0,3.0,60.049999
146.0,4.0,65.669998
147.0,1.0,27.16
147.0,2.0,122.5
147.0,3.0,60.049999
147.0,4.0,65.669998
148.0,1.0,27.16
148.0,2.0,122.5
148.0,3.0,60.049999
148.0,4.0,65.669998
149.0,1.0,27.16
149.0,2.0,122.5
149.0,3.0,60.049999
149.0,4.0,65.669998
150.0,1.0,27.16
150.0,2.0,122.5
150.0,3.0,60.049999
150.0,4.0,65.669998
151.0,1.0,27.16
151.0,2.0,122.5
151.0,3.0,60.049999
151.0,4.0,65.669998
152.0,1.0,27.16
152.0,2.0,122.5
152.0,3.0,60.049999
152.0,4.0,65.669998
153.0,1.0,27.16
153.0,2.0,122.5
153.0,3.0,60.049999
153.0,4.0,65.669998
154.0,1.0,27.16
154.0,2.0,122.5
154.0,3.0,60.049999
154.0,4.0,65.669998
155.0,1.0,27.16
155.0,2.0,122.5
155.0,3.0,60.049999
155.0,4.0,65.669998
156.0,1.0,27.16
156.0,2.0,122.5
156.0,3.0,60.049999
156.0,4.0,65.669998
157.0,1.0,27.16
157.0,2.0,122.5
157.0,3.0,60.049999
157.0,4.0,65.669998
158.0,1.0,27.16
158.0,2.0,122.5
158.0,3.0,60.049999
158.0,4.0,65.669998
159.0,1.0,27.16
159.0,2.0,122.5
159.0,3.0,60.049999
159.0,4.0,65.669998
160.0,1.0,27.16
160.0,2.0,122.5
160.0,3.0,60.049999
160.0,4.0,65.669998
161.0,1.0,27.16
161.0,2.0,122.5
161.0,3.0,60.049999
161.0,4.0,65.669998
162.0,1.0,27.16
162.0,2.0,122.5
162.0,3.0,60.049999
162.0,4.0,65.669998
163.0,1.0,27.16
163.0,2.0,122.5
163.0,3.0,60.049999
163.0,4.0,65.669998
164.0,1.0,27.16
164.0,2.0,122.5
164.0,3.0,60.049999
164.0,4.0,65.669998
165.0,1.0,27.16
165.0,2.0,122.5
165.0,3.0,60.049999
165.0,4.0,65.669998
166.0,1.0,27.16
166.0,2.0,122.5
166.0,3.0,60.049999
166.0,4.0,65.669998
167.0,1.0,27.16
167.0,2.0,122.5
167.0,3.0,60.049999
167.0,4.0,65.669998
168.0,1.0,27.16
168.0,2.0,122.5
168.0,3.0,60.049999
168.0,4.0,65.669998
169.0,1.0,27.16
169.0,2.0,122.5
169.0,3.0,60.049999
169.0,4.0,65.669998
170.0,1.0,27.16
170.0,2.0,122.5
170.0,3.0,60.049999
170.0,4.0,65.669998
171.0,1.0,27.16
171.0,2.0,122.5
171.0,3.0,60.049999
171.0,4.0,65.669998
172.0,1.0,27.16
172.0,2.0,122.5
172.0,3.0,60.049999
172.0,4.0,65.669998
173.0,1.0,27.16
173.0,2.0,122.5
173.0,3.0,60.049999
173.0,4.0,65.669998
174.0,1.0,27.16
174.0,2.0,122.5
174.0,3.0,60.049999
174.0,4.0,65.669998
175.0,1.0,27.16
175.0,2.0,122.5
175.0,3.0,60.049999
175.0,4.0,65.669998
176.0,1.0,27.16
176.0,2.0,122.5
176.0,3.0,60.049999
176.0,4.0,65.669998
177.0,1.0,27.16
177.0,2.0,122.5
177.0,3.0,60.049999
177.0,4.0,65.669998
178.0,1.0,27.16
178.0,2.0,122.5
178.0,3.0,60.049999
178.0,4.0,65.669998
179.0,1.0,27.16
179.0,2.0,122.5
179.0,3.0,60.049999
179.0,4.0,65.669998
180.0,1.0,27.16
180.0,2.0,122.5
180.0,3.0,60.049999
180.0,4.0,65.669998
181.0,1.0,27.16
181.0,2.0,122.5
181.0,3.0,60.049999
181.0,4.0,65.669998
182.0,1.0,27.16
182.0,2.0,122.5
182.0,3.0,60.049999
182.0,4.0,65.669998
183.0,1.0,27.16
183.0,2.0,122.5
183.0,3.0,60.049999
183.0,4.0,65.669998
184.0,1.0,27.16
184.0,2.0,122.5
184.0,3.0,60.049999
184.0,4.0,65.669998
185.0,1.0,27.16
185.0,2.0,122.5
185.0,3.0,60.049999
185.0,4.0,65.669998
186.0,1.0,27.16
186.0,2.0,122.5
186.0,3.0,60.049999
186.0,4.0,65.669998
187.0,1.0,27.16
187.0,2.0,122.5
187.0,3.0,60.049999
187.0,4.0,65.669998
188.0,1.0,27.16
188.0,2.0,122.5
188.0,3.0,60.049999
188.0,4.0,65.669998
189.0,1.0,27.16
189.0,2.0,122.5
189.0,3.0,60.049999
189.0,4.0,65.669998
190.0,1.0,27.16
190.0,2.0,122.5
190.0,3.0,60.049999
190.0,4.0,65.669998
191.0,1.0,27.16
191.0,2.0,122.5
191.0,3.0,60.049999
191.0,4.0,65.669998
192.0,1.0,27.16
192.0,2.0,122.5
192.0,3.0,60.049999
192.0,4.0,65.669998
193.0,1.0,27.16
193.0,2.0,122.5
193.0,3.0,60.049999
193.0,4.0,65.669998
194.0,1.0,27.16
194.0,2.0,122.5
194.0,3.0,60.049999
194.0,4.0,65.669998
195.0,1.0,27.16
195.0,2.0,122.5
195.0,3.0,60.049999
195.0,4.0,65.669998
196.0,1.0,27.16
196.0,2.0,122.5
196.0,3.0,60.049999
196.0,4.0,65.669998
197.0,1.0,27.16
197.0,2.0,122.5
197.0,3.0,60.049999
197.0,4.0,65.669998
198.0,1.0,27.16
198.0,2.0,122.5
198.0,3.0,60.049999
198.0,4.0,65.669998
199.0,1.0,27.16
199.0,2.0,122.5
199.0,3.0,60.049999
199.0,4.0,65.669998
200.0,1.0,27.16
200.0,2.0,122.5
200.0,3.0,60.049999
200.0,4.0,65.669998
201.0,1.0,27.16
201.0,2.0,122.5
201.0,3.0,60.049999
201.0,4.0,65.669998
202.0,1.0,27.16
202.0,2.0,122.5
202.0,3.0,60.049999
202.0,4.0,65.669998
203.0,1.0,27.16
203.0,2.0,122.5
203.0,3.0,60.049999
203.0,4.0,65.669998
204.0,1.0,27.16
204.0,2.0,122.5
204.0,3.0,60.049999
204.0,4.0,65.669998
205.0,1.0,27.16
205.0,2.0,122.5
205.0,3.0,60.049999
205.0,4.0,65.669998
206.0,1.0,27.16
206.0,2.0,122.5
206.0,3.0,60.049999
206.0,4.0,65.669998
207.0,1.0,27.16
207.0,2.0,122.5
207.0,3.0,60.049999
207.0,4.0,65.669998
208.0,1.0,27.16
208.0,2.0,122.5
208.0,3.0,60.049999
208.0,4.0,65.669998
209.0,1.0,27.16
209.0,2.0,122.5
209.0,3.0,60.049999
209.0,4.0,65.669998
210.0,1.0,27.16
210.0,2.0,122.5
210.0,3.0,60.049999
210.0,4.0,65.669998
211.0,1.0,27.16
211.0,2.0,122.5
211.0,3.0,60.049999
211.0,4.0,65.669998
212.0,1.0,27.16
212.0,2.0,122.5
212.0,3.0,60.049999
212.0,4.0,65.669998
213.0,1.0,27.16
213.0,2.0,122.5
213.0,3.0,60.049999
213.0,4.0,65.669998
214.0,1.0,27.16
214.0,2.0,122.5
214.0,3.0,60.049999
214.0,4.0,65.669998
