Days since 1/3/23,Company,Value
64.0,4.0,275.5
65.0,1.0,27.92
65.0,2.0,124.0
65.0,3.0,64.300003
65.0,4.0,275.5
66.0,1.0,27.92
66.0,2.0,124.0
66.0,3.0,64.300003
66.0,4.0,275.5
67.0,1.0,27.92
67.0,2.0,124.0
67.0,3.0,64.300003
67.0,4.0,275.5
68.0,1.0,27.92
68.0,2.0,124.0
68.0,3.0,64.300003
68.0,4.0,275.5
69.0,1.0,27.92
69.0,2.0,124.0
69.0,3.0,64.300003
69.0,4.0,275.5
70.0,1.0,27.92
70.0,2.0,124.0
70.0,3.0,64.300003
70.0,4.0,275.5
71.0,1.0,27.92
71.0,2.0,124.0
71.0,3.0,64.300003
71.0,4.0,275.5
72.0,1.0,27.92
72.0,2.0,124.0
72.0,3.0,64.300003
72.0,4.0,275.5
73.0,1.0,27.92
73.0,2.0,124.0
73.0,3.0,64.300003
73.0,4.0,275.5
74.0,1.0,27.92
74.0,2.0,124.0
74.0,3.0,64.300003
74.0,4.0,275.5
75.0,1.0,27.92
75.0,2.0,124.0
75.0,3.0,64.300003
75.0,4.0,275.5
76.0,1.0,27.92
76.0,2.0,124.0
76.0,3.0,64.300003
76.0,4.0,275.5
77.0,1.0,27.92
77.0,2.0,124.0
77.0,3.0,64.300003
77.0,4.0,275.5
78.0,1.0,27.92
78.0,2.0,124.0
78.0,3.0,64.300003
78.0,4.0,275.5
79.0,1.0,27.92
79.0,2.0,124.0
79.0,3.0,64.300003
79.0,4.0,275.5
80.0,1.0,27.92
80.0,2.0,124.0
80.0,3.0,64.300003
80.0,4.0,275.5
81.0,1.0,27.92
81.0,2.0,124.0
81.0,3.0,64.300003
81.0,4.0,275.5
82.0,1.0,27.92
82.0,2.0,124.0
82.0,3.0,64.300003
82.0,4.0,275.5
83.0,1.0,27.92
83.0,2.0,124.0
83.0,3.0,64.300003
83.0,4.0,275.5
84.0,1.0,27.92
84.0,2.0,124.0
84.0,3.0,64.300003
84.0,4.0,275.5
85.0,1.0,27.92
85.0,2.0,124.0
85.0,3.0,64.300003
85.0,4.0,275.5
86.0,1.0,27.92
86.0,2.0,124.0
86.0,3.0,64.300003
86.0,4.0,275.5
87.0,1.0,27.92
87.0,2.0,124.0
87.0,3.0,64.300003
87.0,4.0,275.5
88.0,1.0,27.92
88.0,2.0,124.0
88.0,3.0,64.300003
88.0,4.0,275.5
89.0,1.0,27.92
89.0,2.0,124.0
89.0,3.0,64.300003
89.0,4.0,275.5
90.0,1.0,27.92
90.0,2.0,124.0
90.0,3.0,64.300003
90.0,4.0,275.5
91.0,1.0,27.92
91.0,2.0,124.0
91.0,3.0,64.300003
91.0,4.0,275.5
92.0,1.0,27.92
92.0,2.0,124.0
92.0,3.0,64.300003
92.0,4.0,275.5
93.0,1.0,27.92
93.0,2.0,124.0
93.0,3.0,64.300003
93.0,4.0,275.5
94.0,1.0,27.92
94.0,2.0,124.0
94.0,3.0,64.300003
94.0,4.0,275.5
95.0,1.0,27.92
