Days since 1/3/23,Company,Value
63.0,3.0,63.150002
63.0,4.0,66.220001
64.0,1.0,27.41
64.0,2.0,123.0
64.0,3.0,63.150002
64.0,4.0,66.220001
65.0,1.0,27.41
65.0,2.0,123.0
65.0,3.0,63.150002
65.0,4.0,66.220001
66.0,1.0,27.41
66.0,2.0,123.0
66.0,3.0,63.150002
66.0,4.0,66.220001
67.0,1.0,27.41
67.0,2.0,123.0
67.0,3.0,63.150002
67.0,4.0,66.220001
68.0,1.0,27.41
68.0,2.0,123.0
68.0,3.0,63.150002
68.0,4.0,66.220001
69.0,1.0,27.41
69.0,2.0,123.0
69.0,3.0,63.150002
69.0,4.0,66.220001
70.0,1.0,27.41
70.0,2.0,123.0
70.0,3.0,63.150002
70.0,4.0,66.220001
71.0,1.0,27.41
71.0,2.0,123.0
71.0,3.0,63.150002
71.0,4.0,66.220001
72.0,1.0,27.41
72.0,2.0,123.0
72.0,3.0,63.150002
72.0,4.0,66.220001
73.0,1.0,27.41
73.0,2.0,123.0
73.0,3.0,63.150002
73.0,4.0,66.220001
74.0,1.0,27.41
74.0,2.0,123.0
74.0,3.0,63.150002
74.0,4.0,66.220001
75.0,1.0,27.41
75.0,2.0,123.0
75.0,3.0,63.150002
75.0,4.0,66.220001
76.0,1.0,27.41
76.0,2.0,123.0
76.0,3.0,63.150002
76.0,4.0,66.220001
77.0,1.0,27.41
77.0,2.0,123.0
77.0,3.0,63.150002
77.0,4.0,66.220001
78.0,1.0,27.41
78.0,2.0,123.0
78.0,3.0,63.150002
78.0,4.0,66.220001
79.0,1.0,27.41
79.0,2.0,123.0
79.0,3.0,63.150002
79.0,4.0,66.220001
80.0,1.0,27.41
80.0,2.0,123.0
80.0,3.0,63.150002
80.0,4.0,66.220001
81.0,1.0,27.41
81.0,2.0,123.0
81.0,3.0,63.150002
81.0,4.0,66.220001
82.0,1.0,27.41
82.0,2.0,123.0
82.0,3.0,63.150002
82.0,4.0,66.220001
83.0,1.0,27.41
83.0,2.0,123.0
83.0,3.0,63.150002
83.0,4.0,66.220001
84.0,1.0,27.41
84.0,2.0,123.0
84.0,3.0,63.150002
84.0,4.0,66.220001
85.0,1.0,27.41
85.0,2.0,123.0
85.0,3.0,63.150002
85.0,4.0,66.220001
86.0,1.0,27.41
86.0,2.0,123.0
86.0,3.0,63.150002
86.0,4.0,66.220001
87.0,1.0,27.41
87.0,2.0,123.0
87.0,3.0,63.150002
87.0,4.0,66.220001
88.0,1.0,27.41
88.0,2.0,123.0
88.0,3.0,63.150002
88.0,4.0,66.220001
89.0,1.0,27.41
89.0,2.0,123.0
89.0,3.0,63.150002
89.0,4.0,66.220001
90.0,1.0,27.41
90.0,2.0,123.0
90.0,3.0,63.150002
90.0,4.0,66.220001
91.0,1.0,27.41
